Date,Time,Location,Sub-location,Source,Notes
2021-06-25,1525h - 2320h,Oue Downtown 1 (6 Shenton Way),Oakwood Premier Amtd Singapore,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28
2021-06-25,1400h - 1430h,Clementi 448 Market & Food Centre (448 Clementi Avenue  3),,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28
2021-06-25,1045h - 1115h,Albert Centre (270 Queen Street),,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28
2021-06-25,1935h - 2115h,Lau Pa Sat (18 Raffles Quay),,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28
2021-06-24,1645h - 1715h,National University Hospital Medical Centre (1 Lower Kent  Ridge Road),Kopitiam,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28
2021-06-24,1400h - 1430h,Ntuc Fairprice (166 Bukit Merah Central),,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-25-jun.pdf?sfvrsn=b0c3657d_2,Added/Updated on 2021-06-26
2021-06-24,0950h - 1035h,Mukmin Restaurant Bedok (129 Bedok North Street 2),,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28
2021-06-24,1230h - 1330h,Toh Guan Centre (21 Toh Guan Road East),Shi Fu Food Court,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes-(7)71dc310f0e39421e93aafdc8ca73c4fd.pdf?sfvrsn=82e573ec_0,Added/Updated on 2021-06-29
2021-06-24,1230h - 1300h,Varinice Eating House (450 Clementi Avenue 3),Golden Rooster Clementi,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28
2021-06-24,1710h - 2210h,Nkf Dialysis Centre (935 Tampines Street 91),,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28
2021-06-23,1200h - 1230h,Depot Heights Shopping Centre (108 Depot Road),Yue Hua Food Court,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-25-jun.pdf?sfvrsn=b0c3657d_2,Added/Updated on 2021-06-26
2021-06-23,0850h - 1000h,Afghanistan Family Restaurant (201E Tampines Street 23),,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28
2021-06-23,0710h - 0740h,112 Jalan Bukit Merah Market And Food Centre,,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28
2021-06-23,1425h - 1540h,Sheng Siong Supermarket (19 Serangoon North Avenue 5),,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-25-jun.pdf?sfvrsn=b0c3657d_2,Added/Updated on 2021-06-26
2021-06-23,1645h - 1715h,National University Hospital Medical Centre (1 Lower Kent  Ridge Road),Kopitiam,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28
2021-06-23,1535h - 1745h,Tampines 1 (10 Tampines Central 1),,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28
2021-06-22,1345h - 1510h,Hotel 81 Selegie (161 Selegie Road),,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-25-jun.pdf?sfvrsn=b0c3657d_2,Added/Updated on 2021-06-26
2021-06-22,1230h - 1335h,Tampines Central Community Complex (866A Tampines  Street 83),Ntuc Fairprice,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28
2021-06-22,2145h - 2225h,Orchard Central (181 Orchard Road),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexesa25fa689b5a8454fae0f5c8d795cca2f.pdf?sfvrsn=4bf7e3e9_0,Added/Updated on 2021-06-25
2021-06-22,2010h - 2100h,Lucky Plaza (304 Orchard Road),J Star Mobile Electronic,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexesa25fa689b5a8454fae0f5c8d795cca2f.pdf?sfvrsn=4bf7e3e9_0,Added/Updated on 2021-06-25
2021-06-22,1820h - 1850h,Tiong Bahru Plaza (302 Tiong Bahru Road),Ntuc Fairprice,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-25-jun.pdf?sfvrsn=b0c3657d_2,Added/Updated on 2021-06-26
2021-06-22,1905h - 1940h,Plaza Singapura (68 Orchard Road),Kopitiam,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexesa25fa689b5a8454fae0f5c8d795cca2f.pdf?sfvrsn=4bf7e3e9_0,Added/Updated on 2021-06-25
2021-06-22,2055h - 2130h,Han’S @ Springleaf Garden (906 Upper Thomson Road),,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28
2021-06-22,1945h - 2045h,Ancient Dynasty Massage & Spa (5 Thong Soon Avenue),,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28
2021-06-22,2015h - 2200h,Courts Megastore (50 Tampines North Drive 2),,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-25-jun.pdf?sfvrsn=b0c3657d_2,Added/Updated on 2021-06-26
2021-06-22,1750h - 2020h,Ikea Tampines (60 Tampines North Drive 2),,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-25-jun.pdf?sfvrsn=b0c3657d_2,Added/Updated on 2021-06-26
2021-06-22,2110h - 2145h,313@Somerset (313 Orchard Road),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexesa25fa689b5a8454fae0f5c8d795cca2f.pdf?sfvrsn=4bf7e3e9_0,Added/Updated on 2021-06-25
2021-06-21,1835h - 1940h,Peperoni Pizzeria (267 Upper Thomson Road),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexesa25fa689b5a8454fae0f5c8d795cca2f.pdf?sfvrsn=4bf7e3e9_0,Added/Updated on 2021-06-25
2021-06-21,1800h - 1900h,Guan Kim Restaurant (47 Tanglin Halt Road),,https://mothership.sg/2021/06/redhill-market-tiong-bahru-plaza-infectious-covid-19-cases/,Added/ Updated on 2021-06-23
2021-06-21,0800h - 0955h,Eastpoint Mall (3 Simei Street 6),Ntuc Fairprice,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-25-jun.pdf?sfvrsn=b0c3657d_2,Added/Updated on 2021-06-26
2021-06-21,1830h - 2000h,Grand Hyatt Singapore (10 Scotts Road),Straitskitchen,https://www.todayonline.com/singapore/northpoint-city-waterway-point-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-24
2021-06-21,0630h - 0900h,Redhill Market (79 Redhill Lane),,https://mothership.sg/2021/06/redhill-market-tiong-bahru-plaza-infectious-covid-19-cases/,Added/ Updated on 2021-06-23
2021-06-20,0945h - 2000h,Ion Orchard (2 Orchard Turn),Monster Curry,https://www.todayonline.com/singapore/northpoint-city-waterway-point-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-24
2021-06-20,1820h - 1855h,Hotel 81 Selegie (161 Selegie Road),,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-25-jun.pdf?sfvrsn=b0c3657d_2,Added/Updated on 2021-06-26
2021-06-20,1100h - 1400h,Redhill Market (79 Redhill Lane),,https://mothership.sg/2021/06/redhill-market-tiong-bahru-plaza-infectious-covid-19-cases/,Added/ Updated on 2021-06-23
2021-06-20,1100h - 1330h,Katong Shopping Centre (865 Mountbatten Road),Top Employment Pte Ltd,https://www.channelnewsasia.com/news/singapore/covid-19-new-cases-singapore-death-community-unlinked-jun-21-15058300,Added/ Updated on 2021-06-22
2021-06-20,0630h - 0900h,Redhill Market (79 Redhill Lane),,https://mothership.sg/2021/06/redhill-market-tiong-bahru-plaza-infectious-covid-19-cases/,Added/ Updated on 2021-06-23
2021-06-20,0640h - 0710h,Giant Express (86 Redhill Close),,https://mothership.sg/2021/06/redhill-market-tiong-bahru-plaza-infectious-covid-19-cases/,Added/ Updated on 2021-06-23
2021-06-20,1700h - 1900h,Redhill Market (79 Redhill Lane),,https://mothership.sg/2021/06/redhill-market-tiong-bahru-plaza-infectious-covid-19-cases/,Added/ Updated on 2021-06-23
2021-06-20,1755h - 1930h,Great World City (1 Kim Seng Promenade),,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-25-jun.pdf?sfvrsn=b0c3657d_2,Added/Updated on 2021-06-26
2021-06-20,0810h - 0900h,Eastpoint Mall (3 Simei Street 6),Ntuc Fairprice,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-25-jun.pdf?sfvrsn=b0c3657d_2,Added/Updated on 2021-06-26
2021-06-20,1820h - 1855h,Giant Supermarket (316B Ang Mo Kio Street 31),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexesa25fa689b5a8454fae0f5c8d795cca2f.pdf?sfvrsn=4bf7e3e9_0,Added/Updated on 2021-06-25
2021-06-19,1100h - 1800h,Katong Shopping Centre (865 Mountbatten Road),Top Employment Pte Ltd,https://www.channelnewsasia.com/news/singapore/covid-19-new-cases-singapore-death-community-unlinked-jun-21-15058300,Added/ Updated on 2021-06-22
2021-06-19,1100h - 1400h,Redhill Market (79 Redhill Lane),,https://mothership.sg/2021/06/redhill-market-tiong-bahru-plaza-infectious-covid-19-cases/,Added/ Updated on 2021-06-23
2021-06-19,0115h - 0230h,China Square (51 Telok Ayer Street),Livewire,https://www.channelnewsasia.com/news/singapore/covid-19-new-cases-singapore-death-community-unlinked-jun-21-15058300,Added/ Updated on 2021-06-22
2021-06-19,1835h - 2135h,Orchid Hotel (1 Tras Link),Jj Dance Movement,https://mothership.sg/2021/06/redhill-market-tiong-bahru-plaza-infectious-covid-19-cases/,Added/ Updated on 2021-06-23
2021-06-19,0845h - 0930h,Our Tampines Hub (1 Tampines Walk),Public Service Centre,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-25-jun.pdf?sfvrsn=b0c3657d_2,Added/Updated on 2021-06-26
2021-06-19,1055h - 1200h,*Scape (2 Orchard Link),Equilibrium Mixed Martial Arts,https://www.channelnewsasia.com/news/singapore/covid-19-new-cases-singapore-death-community-unlinked-jun-21-15058300,Added/ Updated on 2021-06-22
2021-06-19,1700h - 1900h,Redhill Market (79 Redhill Lane),,https://mothership.sg/2021/06/redhill-market-tiong-bahru-plaza-infectious-covid-19-cases/,Added/ Updated on 2021-06-23
2021-06-19,1045h - 1220h,Pasir Panjang Wholesale Centre (1 Wholesale Centre),Zenxin Organic Food Singapore,https://mothership.sg/2021/06/redhill-market-tiong-bahru-plaza-infectious-covid-19-cases/,Added/ Updated on 2021-06-23
2021-06-19,0945h - 2000h,Ion Orchard (2 Orchard Turn),Monster Curry,https://www.todayonline.com/singapore/northpoint-city-waterway-point-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-24
2021-06-19,0955h - 1645h,Katong Shopping Centre (865 Mountbatten Road),Central Recruitment Solutions Pte Ltd,https://www.channelnewsasia.com/news/singapore/covid-19-new-cases-singapore-death-community-unlinked-jun-21-15058300,Added/ Updated on 2021-06-22
2021-06-19,0710h - 0740h,112 Jalan Bukit Merah Market And Food Centre,,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28
2021-06-18,0945h - 2000h,Ion Orchard (2 Orchard Turn),Monster Curry,https://www.todayonline.com/singapore/northpoint-city-waterway-point-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-24
2021-06-18,1225h - 1345h,*Scape (2 Orchard Link),Equilibrium Mixed Martial Arts,https://www.channelnewsasia.com/news/singapore/covid-19-new-cases-singapore-death-community-unlinked-jun-21-15058300,Added/ Updated on 2021-06-22
2021-06-18,1225h - 1300h,Lucky Plaza (304 Orchard Road),,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-25-jun.pdf?sfvrsn=b0c3657d_2,Added/Updated on 2021-06-26
2021-06-18,1330h - 1800h,Redhill Mrt Station (920 Tiong Bahru Road),Bakery Point,https://www.todayonline.com/singapore/maid-agency-katong-shopping-centre-and-church-geylang-among-places-visited-covid-19-0,Added/ Updated on 2021-06-20
2021-06-18,1745h - 1920h,Mulan (Kyawt Na Di) Beauty Salon (175 Boon Lay Drive),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexesa25fa689b5a8454fae0f5c8d795cca2f.pdf?sfvrsn=4bf7e3e9_0,Added/Updated on 2021-06-25
2021-06-18,1010h - 1800h,Katong Shopping Centre (865 Mountbatten Road),Central Recruitment Solutions Pte Ltd,https://www.channelnewsasia.com/news/singapore/covid-19-new-cases-singapore-death-community-unlinked-jun-21-15058300,Added/ Updated on 2021-06-22
2021-06-18,1800h - 1950h,Vivocity (1 Harbourfront Walk),,https://mothership.sg/2021/06/redhill-market-tiong-bahru-plaza-infectious-covid-19-cases/,Added/ Updated on 2021-06-23
2021-06-18,1400h -1500h,Funan (107 North Bridge Road),Premium Eyecare,https://mothership.sg/2021/06/redhill-market-tiong-bahru-plaza-infectious-covid-19-cases/,Added/ Updated on 2021-06-23
2021-06-18,1545h - 1800h,Northpoint City (930 Yishun Avenue 2),,https://www.todayonline.com/singapore/northpoint-city-waterway-point-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-24
2021-06-18,1315h - 1345h,Prime Supermarket (823 Tampines Street 81),,https://www.channelnewsasia.com/news/singapore/covid-19-new-cases-singapore-death-community-unlinked-jun-21-15058300,Added/ Updated on 2021-06-22
2021-06-18,1425h - 1505h,Boon Lay Shopping Centre (221 Boon Lay Place),Lite Mobile,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexesa25fa689b5a8454fae0f5c8d795cca2f.pdf?sfvrsn=4bf7e3e9_0,Added/Updated on 2021-06-25
2021-06-17,1815h - 2020h,Ntuc Fairprice (166 Bukit Merah Central),,https://mothership.sg/2021/06/redhill-market-tiong-bahru-plaza-infectious-covid-19-cases/,Added/ Updated on 2021-06-23
2021-06-17,1100h - 1300h,Bedok Point (799 New Upper Changi Road),Teo Heng Ktv Studio,https://mothership.sg/2021/06/covid-19-june-20-locations-update/,Added/ Updated on 2021-06-21
2021-06-17,0945h - 1020h,Ntuc Fairprice Finest (202 Hougang Street 21),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexesa25fa689b5a8454fae0f5c8d795cca2f.pdf?sfvrsn=4bf7e3e9_0,Added/Updated on 2021-06-25
2021-06-17,1145h - 1230h,Tiong Bahru Plaza (298 Tiong Bahru Road),,https://www.todayonline.com/singapore/maid-agency-katong-shopping-centre-and-church-geylang-among-places-visited-covid-19-0,Added/ Updated on 2021-06-20
2021-06-17,1745h - 1825h,Sim Lim Square (1 Rochor Canal Road),,https://mothership.sg/2021/06/redhill-market-tiong-bahru-plaza-infectious-covid-19-cases/,Added/ Updated on 2021-06-23
2021-06-17,1640h - 1715h,People'S Park Centre (101 Upper Cross Street),,https://mothership.sg/2021/06/redhill-market-tiong-bahru-plaza-infectious-covid-19-cases/,Added/ Updated on 2021-06-23
2021-06-17,1015h - 1840h,Katong Shopping Centre (865 Mountbatten Road),Central Recruitment Solutions Pte Ltd,https://www.channelnewsasia.com/news/singapore/covid-19-new-cases-singapore-death-community-unlinked-jun-21-15058300,Added/ Updated on 2021-06-22
2021-06-17,1640h - 1715h,People’S Park Centre (101 Upper Cross Street),Citri Mobile,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexesa25fa689b5a8454fae0f5c8d795cca2f.pdf?sfvrsn=4bf7e3e9_0,Added/Updated on 2021-06-25
2021-06-17,1250h - 1320h,Healthy Path Spa (84 Bedok North Street 4),,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-26-jun.pdf?sfvrsn=5d9d801a_2,Added/Updated on 2021-06-27
2021-06-17,1605h - 1810h,Ikea Tampines (60 Tampines North Drive 2),,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-25-jun.pdf?sfvrsn=b0c3657d_2,Added/Updated on 2021-06-26
2021-06-17,1220h - 1315h,Healthy Path Spa (84 Bedok North Street 4),,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes-(7)71dc310f0e39421e93aafdc8ca73c4fd.pdf?sfvrsn=82e573ec_0,Added/Updated on 2021-06-29
2021-06-17,1035h - 1240h,Ntuc Fairprice (166 Bukit Merah Central),,https://mothership.sg/2021/06/covid-19-june-20-locations-update/,Added/ Updated on 2021-06-21
